    Node#      Dof  Position
      27        x   0.0000
      27        y   0.0000
      27        z  -3.3710
      27     ROTX   0.0000
      27     ROTY   0.0000
      27     ROTZ   0.0000
      32        x   0.0000
      32        y   0.0000
      32        z  -4.4650
      32     ROTX   0.0000
      32     ROTY   0.0000
      32     ROTZ   0.0000
      60        x   0.0000
      60        y   0.0000
      60        z   0.6500
      60     ROTX   0.0000
      60     ROTY   0.0000
      60     ROTZ   0.0000
     101        x   0.0000
     101        y   1.1070
     101        z   0.0000
     101     ROTX   0.0000
     101     ROTY   0.0000
     101     ROTZ   0.0000
     102        x   0.0000
     102        y  -1.1070
     102        z  -0.8750
     102     ROTX   0.0000
     102     ROTY   0.0000
     102     ROTZ   0.0000
     103        x   1.1070
     103        y   0.0000
     103        z  -1.7500
     103     ROTX   0.0000
     103     ROTY   0.0000
     103     ROTZ   0.0000
     104        x  -1.1070
     104        y   0.0000
     104        z  -2.6250
     104     ROTX   0.0000
     104     ROTY   0.0000
     104     ROTZ   0.0000
     200        x   0.0000
     200        y   0.0000
     200        z   1.8280
     200     ROTX   0.0000
     200     ROTY   0.0000
     200     ROTZ   0.0000
     201        x   0.0000
     201        y   0.0000
     201        z   0.4375
     201     ROTX   0.0000
     201     ROTY   0.0000
     201     ROTZ   0.0000
     202        x   0.0000
     202        y   0.0000
     202        z  -0.4375
     202     ROTX   0.0000
     202     ROTY   0.0000
     202     ROTZ   0.0000
     203        x   0.0000
     203        y   0.0000
     203        z  -1.3125
     203     ROTX   0.0000
     203     ROTY   0.0000
     203     ROTZ   0.0000
     204        x   0.0000
     204        y   0.0000
     204        z  -2.1875
     204     ROTX   0.0000
     204     ROTY   0.0000
     204     ROTZ   0.0000
     205        x   0.0000
     205        y   0.0000
     205        z  -3.0625
     205     ROTX   0.0000
     205     ROTY   0.0000
     205     ROTZ   0.0000
     206        x   0.0000
     206        y   0.0000
     206        z  -4.0005
     206     ROTX   0.0000
     206     ROTY   0.0000
     206     ROTZ   0.0000
